Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgwJEp_sswX_6znol6F4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-18T21:52:22+00:00,0,pdPPM40L5RU,"{""text"":""Tell me song name please???""}"
Ugyg0Ghu7wEOWNoKZ4J4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-23T23:16:18+00:00,0,n5YgqGZSFpY,"{""text"":""BOTH ARE FUCKED UP! TO THE DOMEEEEE. LOL. At least i think so.""}"
UgyCHkdd9yliY_WdH4F4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-21T22:53:27+00:00,0,lEZfFf-G5aY,"{""text"":""DAMN.....""}"
UgyLKtATV2XOOJ1M4xF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-14T04:15:25+00:00,0,LV87mQVlj8c,"{""text"":""ur eyes look dialated to the dome.""}"
UgxaJxo4vDyNFpsitul4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-13T21:51:07+00:00,0,Gt7gnskfu6Y,"{""text"":""Cheezit""}"
UgzoqrFt-4L6ykRBp714AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-12T22:30:39+00:00,0,X_n1HQiy-rY,"{""text"":""I still dont get it ): what case are they in.""}"
Ugw4mrpyube0yiDZ7c14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-12T04:05:29+00:00,0,C1FI8awk91Y,"{""text"":""happy early birthday.""}"
UgyNrjXnFDP1TMD-7ah4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-11T23:45:40+00:00,0,LEKF4Ic-PGs,"{""text"":""but people always jump over it. its kinda hard to land.""}"
UgyO-c4r6o5MW3L-A9l4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-11T02:41:52+00:00,0,5pB3gAjivrY,"{""text"":""he wasnt eliminated~!@!@""}"
Ugxok_eziune53-W5Vl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-11T02:05:12+00:00,0,X_n1HQiy-rY,"{""text"":""they could be max lights. the video is really high quality.""}"
UgwOuhUpjqZTmAQNg354AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-11T01:36:01+00:00,0,9qmfuwysGUw,"{""text"":""yee first comment.""}"
Ugx1sAzdINw9fc_64NB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-10T03:47:06+00:00,0,kvAboV8Qfb8,"{""text"":""@pletta17\nDUDE YOUR RIGHT.""}"
Ugz5TEntQlkc09X5ZSl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-09T22:34:21+00:00,0,X_n1HQiy-rY,"{""text"":""oh those are dotz? haha thanks man. those look really nice.""}"
UgwL77sQGZJWYL78KJx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-02-08T23:14:05+00:00,0,X_n1HQiy-rY,"{""text"":""hey gummy, just wondering are all your lights inovas? cause if they are how come they stay on for over 4 minutes because my bwg invoas turn off after 4 minutes.""}"
Ugw4uaONWqcWoVXPY714AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-27T02:34:00+00:00,0,DCe8p5k5dVI,"{""text"":""song name please?""}"
UgwxMK_puNEWGFgxoA54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-27T01:53:33+00:00,0,pejBAOGuMis,"{""text"":""fat one has better fan, slim dont hahaha.""}"
UgzJCl0Lfac38JHkwyJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-24T02:37:22+00:00,0,Rz5WLKUqLXA,"{""text"":""i have a feeling its yellow. last year blue lobster = blue box. Yellow lobster = yellow box. Not sure though cause of the red lobsters, but jus a guess""}"
UgxS9zJQlGEGeKT70a14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-22T04:54:28+00:00,0,9YdCdLHBuIE,"{""text"":""look at cupcakes face. Love the expression. keep it up guys!""}"
Ugwr83At44g979sCUBN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-22T04:14:42+00:00,0,zuKwAPN34W4,"{""text"":""i bet the 2010 box is gnna be prolly yellow cause yellow lobsters comin out. 09 Blue lobsters was a blue box. Jus a guess. Idk if the yellow lobsters are comin out though.""}"
Ugx5E-4fRx-ltb520uJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-19T16:40:30+00:00,0,WY81Zi-841Y,"{""text"":""rofl whats that suppose to mean?""}"
Ugz4uwKET6Zkb2j4daN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-19T16:38:07+00:00,0,BdhhUAZHNi8,"{""text"":""oh, the lines are jus the effect from the camera when the lights are on low power mode. It's just the camera, if you saw it in real life you dont see the lines.""}"
UgxWEgfA89PKeEo2HH14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-19T16:32:03+00:00,0,hLgOWt35wrc,"{""text"":""No offense, but i think you spelled demons wrong in the description box.""}"
UgzhV5RocxOpRl_p_4V4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-18T16:52:58+00:00,0,EcBN_5nQ13E,"{""text"":""damn.... hardly any yellowing.....""}"
Ugx10FJfLxqRVYIcO8p4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-04T22:00:38+00:00,0,7W6SvJPlH70,"{""text"":""truuue. thanks for the answer man. that was a real head scratcher for me for a long time haha""}"
Ugyoa3_hpNlXQiR2ppx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-01T23:34:24+00:00,0,CWyrp3hu4KE,"{""text"":""lol.. this proves again im colorblind. my bio teacher tested me last year and i was one of 2 kids who was colorblind. He couldnt stop laugihng ):""}"
UgzkgrjUlaqXX7lO5EF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-01-01T23:11:47+00:00,0,wXMGegXpeSU,"{""text"":""also, i can play ball in new jordans jus as well as old ones (:""}"
