Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgyLKM1tGqUk5RvCkNh4AaABAg.989rAIJjVbk989xjL93O3j,UCbClSOItOom1IT8ZLKnZYEA,2020-05-02T17:52:53.38926+00:00,0,UgyLKM1tGqUk5RvCkNh4AaABAg,,NOmVJ6Gkc7U,"{""text"":""Domingas Lifestyle welcome to the channel and thank you!!!""}",UgyLKM1tGqUk5RvCkNh4AaABAg
UgxY15dl6KBzF5lRl414AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-05-01T23:05:13.918297+00:00,0,,,843Lkl-4ww4,"{""text"":""I fuck with this hard""}",
UgyBhAJpHPI8UK57usN4AaABAg.986AkX3m2xS987IKUgdqtE,UCbClSOItOom1IT8ZLKnZYEA,2020-05-01T17:03:52.664509+00:00,0,UgyBhAJpHPI8UK57usN4AaABAg,,lxTW2WoJCGo,"{""text"":""Gavin Tran OOF""}",UgyBhAJpHPI8UK57usN4AaABAg
UgymaiLIvjqUkBSWHHl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-05-01T01:34:02.351904+00:00,0,,,lxTW2WoJCGo,"{""text"":""CAN VEGANS EAT ONIONS???!!!!""}",
Ugzo5_Iq5l0OQI3p19B4AaABAg.983O3ZO7D_x983OGNOBiXT,UCbClSOItOom1IT8ZLKnZYEA,2020-04-30T04:38:46.966015+00:00,0,Ugzo5_Iq5l0OQI3p19B4AaABAg,,QxSMDUAXLCE,"{""text"":""Have one but audio devices don’t allow usb connection :(""}",Ugzo5_Iq5l0OQI3p19B4AaABAg
UgwVtnuIrTWFdXY72Yh4AaABAg.980gTNKJRo3980sthi4Kx3,UCbClSOItOom1IT8ZLKnZYEA,2020-04-29T05:17:27.003863+00:00,0,UgwVtnuIrTWFdXY72Yh4AaABAg,,62DCDBde6Fo,"{""text"":""😅""}",UgwVtnuIrTWFdXY72Yh4AaABAg
UgzMiUHxzgiepboY3jV4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-04-29T03:13:53.437313+00:00,0,,,62DCDBde6Fo,"{""text"":""We're nearing 100 subs people""}",
Ugzx-8QvKX1DjEZHBh54AaABAg.97z9SNX7zES97zDZgDH6mT,UCbClSOItOom1IT8ZLKnZYEA,2020-04-28T04:29:05.815542+00:00,0,Ugzx-8QvKX1DjEZHBh54AaABAg,,aHf67h9_Huc,"{""text"":""whoseyouraaron take it!! lmk if you make any improvements :-)""}",Ugzx-8QvKX1DjEZHBh54AaABAg
Ugy8XyO2-Xoe3uWr2YR4AaABAg.97z2m4QMrLm97z4Wq_nhWm,UCbClSOItOom1IT8ZLKnZYEA,2020-04-28T03:10:03.975092+00:00,0,Ugy8XyO2-Xoe3uWr2YR4AaABAg,,aHf67h9_Huc,"{""text"":""would be off beat""}",Ugy8XyO2-Xoe3uWr2YR4AaABAg
UgwJaaoNyEovp_EZ4Jl4AaABAg.97wNV5c2fTR97wQkpBqemB,UCbClSOItOom1IT8ZLKnZYEA,2020-04-27T02:26:37.71768+00:00,0,UgwJaaoNyEovp_EZ4Jl4AaABAg,,sxH0NQi0id4,"{""text"":""Traveling around a fence""}",UgwJaaoNyEovp_EZ4Jl4AaABAg
UgygCeoJuu4ZTbdmDzN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-04-24T21:11:45.019489+00:00,0,,,ZengOKCUBHo,"{""text"":""R.i.P JUICE. LONG LIVE ONE OF THE GREATEST OF THIS GENERATION.""}",
UgzJY50k9UUdCfTNbqt4AaABAg.97jW6aGBwEj97qeT96HXSu,UCbClSOItOom1IT8ZLKnZYEA,2020-04-24T20:39:42.465101+00:00,0,UgzJY50k9UUdCfTNbqt4AaABAg,,4FHrrUhuLPI,"{""text"":""I wasn't even in my final form""}",UgzJY50k9UUdCfTNbqt4AaABAg
UgwBRvrQKswh8EEtewh4AaABAg.97qEwZG5h-o97qGDzWEmro,UCbClSOItOom1IT8ZLKnZYEA,2020-04-24T16:59:11.040614+00:00,0,UgwBRvrQKswh8EEtewh4AaABAg,,vStFQUuYcsY,"{""text"":""not this time""}",UgwBRvrQKswh8EEtewh4AaABAg
Ugx6XackNP3nBfEmBD14AaABAg.97L0or5ksjk97nj6L_O0Mh,UCbClSOItOom1IT8ZLKnZYEA,2020-04-23T17:22:33.769536+00:00,0,Ugx6XackNP3nBfEmBD14AaABAg,,xrFeqlgCESo,"{""text"":""I think he uses a tablespoon! Tsp made me think it was teaspoon. Thanks for writing this down""}",Ugx6XackNP3nBfEmBD14AaABAg
