Comment ID,Channel ID,Comment Create Timestamp,Price,Currency code,Super Thanks Identifier,Parent Comment ID,Post ID,Video ID,Comment Text,Price Tier ID,Top-Level Comment ID
Ugzni82EQVocse8tfnB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-11-02T23:10:48.690436+00:00,0,,,,,Y4hWk8SwNwA,"{""text"":""tell me why the dog looks mad as fuck at when it start running towards the camera 😂""}",,
Ugx1JKuoEC6RGQFik5t4AaABAg.A8X-dJOFPIFA8_lttFA5cO,UCbClSOItOom1IT8ZLKnZYEA,2024-09-19T21:18:11.566904+00:00,0,,,Ugx1JKuoEC6RGQFik5t4AaABAg,,qJd3Rxra4IQ,"{""text"":""most likely cuz of the term coupe de tat ahaha""}",,Ugx1JKuoEC6RGQFik5t4AaABAg
UgxrtZuhQBqLebCHtbJ4AaABAg.A5BHlcce4cEA5gcP3U7r9s,UCbClSOItOom1IT8ZLKnZYEA,2024-07-09T23:35:42.332366+00:00,0,,,UgxrtZuhQBqLebCHtbJ4AaABAg,,5fG9mceDEf8,"{""text"":""He said I’m the best indeed, now he wanna bag it""},{""text"":""\n""},{""text"":""say he wanna invest in me, spend a couple bags yeah ""},{""text"":""\n""},{""text"":""city boys live for the city girls, life so fast when you’re having fun""},{""text"":""\n""},{""text"":""they all love on the pretty girls, better make me your number one""}",,UgxrtZuhQBqLebCHtbJ4AaABAg
UgzjOQ89fKX9jveu6P14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-06-04T04:39:20.147008+00:00,0,,,,,Trpe5UXqPiU,"{""text"":""floyd boxes perfectly… kinda like a robot ""},{""text"":""\n""},{""text"":""\n""},{""text"":""pacquiao fights more humanistic with natural born warrior instinct and heart""}",,
UgzsHQEKEFM5ajYhPYx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-05-16T09:29:39.849879+00:00,0,,,,,I3Lr46O5Ixc,"{""text"":""ayooo..?""}",,
Ugyb5McGHvfQYhPvm7F4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-05-14T20:15:14.496605+00:00,0,,,,,5L0Lwo4tjz8,"{""text"":""i’m telling my grandkids this was mike tyson vs jake paul""}",,
Ugzr6BRVIB9xOXYy0Vp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-05-05T03:15:26.098218+00:00,0,,,,,Fnt2mxp83pM,"{""text"":""Commentator: The bad boys coming out""},{""text"":""\n""},{""text"":""Edwards: Yeah N*""},{""text"":""*""}",,
UgwBM-U_MqwHxgOl9JV4AaABAg.A0cWLvBw4QiA1NCPfYK67w,UCbClSOItOom1IT8ZLKnZYEA,2024-03-24T15:09:28.315343+00:00,0,,,UgwBM-U_MqwHxgOl9JV4AaABAg.A0cWLvBw4QiA0dmZnvg3kF,,bjVGCnFHSqM,"{""text"":""@OfficialBigStick"",""mention"":{""externalChannelId"":""UCp7QYQGeWrGF2GMNxsjSW0Q""}},{""text"":""rondonumbanine with a rocket launcher is crazy""}",,UgwBM-U_MqwHxgOl9JV4AaABAg
Ugwcsxolf7svjN7VO5d4AaABAg.9zeKDHstqXsA0tFKXX3_qf,UCbClSOItOom1IT8ZLKnZYEA,2024-03-12T14:38:31.660285+00:00,0,,,Ugwcsxolf7svjN7VO5d4AaABAg,,Hy2r7luwS10,"{""text"":""this is a knowledge consumption device without all of the ads/cookies in between. kinda nifty but also makes people lazier in the long run in terms of having the patience to do research lol. but i guess it can accelerate learning to do more too""}",,Ugwcsxolf7svjN7VO5d4AaABAg
UgzA1whg_A8ufINsABN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2024-01-31T13:26:18.188746+00:00,0,,,,,tV85w2k8MEI,"{""text"":""people need to learn respect and you taught just that. cheers""}",,
UgywAlCiysOo6Tigs9Z4AaABAg.9zPUeR61trV9zhyM7ysuqc,UCbClSOItOom1IT8ZLKnZYEA,2024-01-18T12:27:01.535377+00:00,0,,,UgywAlCiysOo6Tigs9Z4AaABAg,,CK7UZBQ9GJc,"{""text"":""imagine dragon deez nutz on your chin""}",,UgywAlCiysOo6Tigs9Z4AaABAg
Ugxwrpq80dkz60WiTON4AaABAg.9yuyogD6Ooy9zNCuQwnUt0,UCbClSOItOom1IT8ZLKnZYEA,2024-01-10T01:39:37.460365+00:00,0,,,Ugxwrpq80dkz60WiTON4AaABAg,,D6ULDlUPIwo,"{""text"":""Narduwar clone""}",,Ugxwrpq80dkz60WiTON4AaABAg
UgxgZkwqx0NVh5DNHUR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-12-21T14:08:38.1467+00:00,0,,,,,ZwQX68LbEFo,"{""text"":""LOL i would pronounce it like theme-zer""}",,
UgxgjFZ9NOvc7eXGx_h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-12-03T01:11:34.920303+00:00,0,,,,,yLnlKlNOiqU,"{""text"":""What is he injecting?""}",,
Ugw0TKduz6B5WSXEPap4AaABAg.9wxtG6GIMV99x7Zmqkzo8U,UCbClSOItOom1IT8ZLKnZYEA,2023-11-15T06:48:55.78526+00:00,0,,,Ugw0TKduz6B5WSXEPap4AaABAg,,2gHHNm2NxNU,"{""text"":""nessatrell is saying that it's pronounced like Jay-Bow and not Jay-Boo""}",,Ugw0TKduz6B5WSXEPap4AaABAg
Ugz9zsCKFYx7Sukwy_h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-10-19T03:50:33.817013+00:00,0,,,,,kwRKN7r8dj8,"{""text"":""Can't wait for the album.""}",,
