Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
Ugij3eneeLEFrXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-07-07T23:06:03.485+00:00,0,,7qWQtudacvc,"{""text"":""It's lit fam. really good production quality for first vid!! keep that shit up!!""}",
UghghWiMtOFgy3gCoAEC.8FUX0WhcKqT8FWgHMrc6e2,UCbClSOItOom1IT8ZLKnZYEA,2016-06-24T19:53:27.027915+00:00,0,UghghWiMtOFgy3gCoAEC,TWXE1e00LwE,"{""text"":""Either way that's pretty dope""}",UghghWiMtOFgy3gCoAEC
UghghWiMtOFgy3gCoAEC.8FUX0WhcKqT8FWgDvS_x78,UCbClSOItOom1IT8ZLKnZYEA,2016-06-24T19:52:58.782412+00:00,0,UghghWiMtOFgy3gCoAEC,TWXE1e00LwE,"{""text"":""Way to be modest lol""}",UghghWiMtOFgy3gCoAEC
UggmiKb5pulDJHgCoAEC.8F7xH5EP-1R8F89t-LDdQS,UCbClSOItOom1IT8ZLKnZYEA,2016-06-15T07:19:51.325167+00:00,0,UggmiKb5pulDJHgCoAEC.8F7xH5EP-1R8F7xNLZrYl9,ohIXmFwu410,"{""text"":""+Chris both are synonyms""}",UggmiKb5pulDJHgCoAEC
UgjCpntqKaEGm3gCoAEC.8EFBv7Ww67Y8ELejjmjKIy,UCbClSOItOom1IT8ZLKnZYEA,2016-05-26T16:36:56.740489+00:00,0,UgjCpntqKaEGm3gCoAEC,If6nIqfoCME,"{""text"":""they live this life""}",UgjCpntqKaEGm3gCoAEC
UgjBtLmlTyK2EngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-05-26T16:35:47.102+00:00,0,,If6nIqfoCME,"{""text"":""Lol... who here had a hot a hot middle school social studies teacher? is it just me?""}",
UgjJrtnWldqRAngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-05-23T15:18:05.895+00:00,0,,Bkgoyg1Lpus,"{""text"":""Bleu de Chanel or l'homme ultime? Smelled both but which one would be better? I like both lol""}",
UgiyzC-tVBXpfHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-05-23T15:01:36.409+00:00,0,,4Y3XDn8d3W8,"{""text"":""L'homme ultime or bleu de Chanel edp? I've smelled both but which one is good for summer?""}",
UggbHvk5uVTrmHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-05-12T10:15:22.69+00:00,0,,ThTIJ31rKlk,"{""text"":""If he took off his chain he would look like a floating head""}",
UghcImtwC1zwE3gCoAEC.8AFW4v2LKmd8DldYYoCdik,UCbClSOItOom1IT8ZLKnZYEA,2016-05-12T07:34:38.531835+00:00,0,UghcImtwC1zwE3gCoAEC,dFDoqwrczOY,"{""text"":""+Saru2191 I think sauvage and Invictus are in the same lane. I have Invictus but when I tried sauvage in the mall, it smells like a chilled out version where as Invictus smells more energetic. Am I trippin?""}",UghcImtwC1zwE3gCoAEC
